word,positive,negative
abundance,1,NA
abuse,NA,2
accurate,1,NA
accurately,1,NA
achievement,8,NA
advantage,1,NA
adverse,NA,4
affirmative,1,NA
alarming,NA,1
allergic,NA,1
allergies,NA,2
allergy,NA,1
anxiety,NA,9
anxious,NA,2
approval,1,NA
atrophy,NA,1
attractive,1,NA
autonomous,1,NA
aversion,NA,1
awful,NA,1
bad,NA,1
beneficial,1,NA
benefits,4,NA
bomb,NA,3
boost,3,NA
break,NA,1
breakthrough,3,NA
brighter,2,NA
bulky,NA,1
butchery,NA,1
cancer,NA,10
celebrate,2,NA
celebration,2,NA
challenging,NA,1
champ,2,NA
cheaper,1,NA
chronic,NA,1
clean,5,NA
cleaner,1,NA
clogged,NA,1
cloud,NA,1
collapse,NA,1
complicated,NA,1
comprehensive,2,NA
compulsive,NA,1
concerns,NA,3
confidence,1,NA
confounding,NA,1
confusing,NA,2
confusion,NA,2
conservative,NA,1
consistent,1,NA
consistently,3,NA
conspiracy,NA,1
contaminated,NA,1
continuity,1,NA
controversial,NA,1
costly,NA,1
crashed,NA,1
crime,NA,1
criminal,NA,1
crisis,NA,6
critical,NA,2
damage,NA,4
damaged,NA,2
damages,NA,1
damaging,NA,2
danger,NA,1
dangerous,NA,1
dark,NA,4
dead,NA,2
death,NA,1
decline,NA,1
declines,NA,2
deficiency,NA,1
degradation,NA,3
delay,NA,1
delicious,1,NA
depressed,NA,2
depression,NA,7
detrimental,NA,4
died,NA,2
difficulties,NA,1
difficulty,NA,1
disadvantaged,NA,1
disadvantages,NA,1
discrimination,NA,1
disorder,NA,7
disproportionate,NA,1
disregard,NA,1
disrupt,NA,1
distress,NA,3
distressed,NA,1
distressing,NA,1
disturbing,NA,1
dominate,1,NA
doubt,NA,1
durable,1,NA
dust,NA,1
dynamic,2,NA
easy,2,NA
effective,4,NA
efficient,2,NA
efficiently,1,NA
emergency,NA,1
enemies,NA,1
enemy,NA,1
enhanced,1,NA
enhances,2,NA
enjoy,1,NA
enjoyed,1,NA
enjoyment,1,NA
error,NA,1
exaggerate,NA,1
excessive,NA,3
failing,NA,1
failure,NA,1
faith,3,NA
fall,NA,1
fallout,NA,4
fast,2,NA
faster,3,NA
fastest,1,NA
fat,NA,2
fatal,NA,1
fatigue,NA,1
fatty,NA,2
favor,1,NA
fearsome,NA,2
fell,NA,2
fine,1,NA
flare,NA,4
flexible,1,NA
free,12,NA
fresh,1,NA
friction,NA,4
friendly,3,NA
gain,5,NA
genuine,1,NA
goodwill,1,NA
happiness,8,NA
hard,NA,2
hardship,NA,2
harm,NA,1
harmful,NA,3
harms,NA,1
hazardous,NA,1
headache,NA,1
healthy,1,NA
hedge,NA,1
helped,1,NA
helping,1,NA
hero,2,NA
heroic,2,NA
hesitant,NA,1
illness,NA,2
imbalance,NA,2
impaired,NA,1
improve,1,NA
improved,3,NA
improves,1,NA
improving,2,NA
incorrect,NA,1
indifference,NA,1
individualized,1,NA
ineffective,NA,1
inequality,NA,3
inevitable,NA,1
inexpensive,1,NA
infected,NA,1
infection,NA,7
infections,NA,4
inflammation,NA,3
inhibit,NA,1
inhibition,NA,1
injury,NA,1
insufficient,NA,2
intelligence,1,NA
interference,NA,1
intermittent,NA,1
intimate,3,NA
isolated,NA,1
issue,NA,1
issues,NA,1
itch,NA,1
junk,NA,1
kill,NA,1
killing,NA,2
lack,NA,1
lacking,NA,1
lead,5,NA
leading,2,NA
leads,1,NA
led,6,NA
likes,4,NA
losing,NA,1
loss,NA,3
lost,NA,3
love,1,NA
maltreatment,NA,1
misconceptions,NA,1
miss,NA,14
missed,NA,2
modern,1,NA
modest,1,NA
morality,1,NA
negative,NA,3
noise,NA,1
obese,NA,2
obsessive,NA,1
outbreak,NA,1
overweight,NA,1
pain,NA,6
palatial,1,NA
parasite,NA,1
partisan,NA,3
partisans,NA,1
passion,5,NA
patient,2,NA
perseverance,1,NA
pleasurable,1,NA
poison,NA,1
